time,vx,vy,vz,wx,wy,wz,x,y,z,phi,theta,psi,vxdot,vydot,vzdot,wxdot,wydot,wzdot,xdot,ydot,zdot,phidot,thetadot,psidot,fx,fy,fz,tauz,x_ref,y_ref,z_ref,psi_ref,x_error,y_error,z_error,psi_error,solve_time,metadata
0.01,0.00015999999999999996,0.0,0.0,0.0,0.0012433891456533192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015999999999999997,0.0,0.0,0.0,0.12433891456533191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035204965214604973,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.00015999999999999996,0.0,0.0,0.0,6639644,17.0
0.02,0.0003199449761854725,0.0,2.4399928439767277e-09,0.0,0.0024850867915774885,0.0,1.5999999999999997e-06,0.0,0.0,0.0,1.2433891456533193e-05,0.0,0.01599449761854725,0.0,2.4399928439767277e-07,0.0,0.12416976459241694,0.0,0.00015999999999999996,0.0,0.0,0.0,0.0012433891456533192,0.0,0.0035204965214604973,-0.0,-0.0,-0.0,0.0025000000000000005,0.0,0.0,0.0,0.002180055023814528,0.0,-2.4399928439767277e-09,0.0,6639644,0.01
0.03,0.00047988179958019246,0.0,1.21840266629944e-08,0.0,0.00372380686675911,0.0,4.7994497619107905e-06,0.0,-1.5381682620626425e-11,0.0,3.728475937230808e-05,0.0,0.015993682339472,0.0,9.744033819017672e-07,0.0,0.12387200751816213,0.0,0.0003199449761910791,0.0,-1.5381682620626427e-09,0.0,0.0024850867915774885,0.0,0.0035204965214604973,-0.0,-0.0,-0.0,0.005000000000000001,0.0,0.0,0.0,0.004520118200419808,0.0,-1.21840266629944e-08,0.0,6639644,gamma_th = 10
0.04,0.0006398571732614481,0.0,3.4061464651311286e-08,0.0,0.004958266966347035,0.0,9.598267758919954e-06,0.0,-7.24641902788922e-11,0.0,7.452282803989918e-05,0.0,0.01599753736812557,0.0,2.187743798831688e-06,0.0,0.12344600995879253,0.0,0.0004798817997009163,0.0,-5.708250765826578e-09,0.0,0.00372380686675911,0.0,0.0035204965214604973,-0.0,-0.0,-0.0,0.0075000000000000015,0.0,0.0,0.0,0.006860142826738553,0.0,-3.4061464651311286e-08,0.0,6639644,gamma_ph = 10
0.05,0.0007999175839012191,0.0,7.28570403962749e-08,0.0,0.006187189678956385,0.0,1.5996839499150284e-05,0.0,-2.086892052008288e-10,0.0,0.00012410549770336952,0.0,0.016006041063977093,0.0,3.879557574496361e-06,0.0,0.12289227126093505,0.0,0.0006398571740230328,0.0,-1.3622501492193659e-08,0.0,0.004958266966347035,0.0,0.0035204965214604973,-0.0,-0.0,-0.0,0.010000000000000002,0.0,0.0,0.0,0.009200082416098782,0.0,-7.28570403962749e-08,0.0,6639644,gamma_psi = 1
0.06,0.0009601092535587482,0.0,1.3330100100007633e-07,0.0,0.0074093039082039685,0.0,2.3996015366979714e-05,0.0,-4.728605030178437e-10,0.0,0.00018597739449293337,0.0,0.016019166965752916,0.0,6.044396060380144e-06,0.0,0.12221142292475835,0.0,0.0007999175867829431,0.0,-2.641712978170149e-08,0.0,0.006187189678956385,0.0,0.0035204965214604973,-0.0,-0.0,-0.0,0.0125,0.0,0.0,0.0,0.011539890746441253,0.0,-1.3330100100007633e-07,0.0,6639644,k1 = [[0.32 0.32 5.   0.3 ]]
0.07,0.0011654727179827222,0.0,2.3224224519226744e-07,0.0,0.008973007623599379,0.0,3.359710798443759e-05,0.0,-9.254366798308066e-10,0.0,0.00026007043357497307,0.0,0.020536346442397393,0.0,9.894124419219113e-06,0.0,0.15637037153954106,0.0,0.0009601092617457877,0.0,-4.5257617681296294e-08,0.0,0.0074093039082039685,0.0,0.004510517927992643,-0.0,2.1856108178684164e-07,-0.0,0.015000000000000003,0.0,0.0,0.0,0.01383452728201728,0.0,-2.3224224519226744e-07,0.0,2192503,k2 = [[0.32 0.32 5.   0.3 ]]
0.08,0.0013710434248773483,0.0,3.7180415899386937e-07,0.0,0.010526909179918532,0.0,4.5251835374114986e-05,0.0,-1.634064223135901e-09,0.0,0.00034980050981096687,0.0,0.020557070689462602,0.0,1.3956191380160193e-05,0.0,0.15539015563191533,0.0,0.0011654727389677393,0.0,-7.086275433050945e-08,0.0,0.008973007623599379,0.0,0.004510517927992643,-0.0,2.1856108178684164e-07,-0.0,0.0175,0.0,0.0,0.0,0.016128956575122654,0.0,-3.7180415899386937e-07,0.0,2192503,theta_limit = 0.17453292519943295
0.09,0.0015768796950802427,0.0,5.595406677802312e-07,0.0,0.012069402613128553,0.0,5.896227008465421e-05,0.0,-2.7119396528133835e-09,0.0,0.0004550696016101522,0.0,0.020583627020289427,0.0,1.8773650878636176e-05,0.0,0.15424934332100212,0.0,0.0013710434710539224,0.0,-1.0778754296774824e-07,0.0,0.010526909179918532,0.0,0.004510517927992643,-0.0,2.1856108178684164e-07,-0.0,0.020000000000000004,0.0,0.0,0.0,0.01842312030491976,0.0,-5.595406677802312e-07,0.0,2192503,phi_limit = 0.17453292519943295
0.1,0.0017830393471314414,0.0,8.028741445247933e-07,0.0,0.013598894506771767,0.0,7.473106794898905e-05,0.0,-4.292433452981643e-09,0.0,0.0005757636277414378,0.0,0.020615965205119872,0.0,2.4333347674456213e-05,0.0,0.1529491893643214,0.0,0.0015768797864334845,0.0,-1.5804938001682598e-07,0.0,0.012069402613128553,0.0,0.004510517927992643,-0.0,2.1856108178684164e-07,-0.0,0.022500000000000003,0.0,0.0,0.0,0.02071696065286856,0.0,-8.028741445247933e-07,0.0,2192503,psi_limit = 0.08726646259971647
0.11,0.001989579637286419,0.0,1.1090800235702482e-06,0.0,0.015113805637709176,0.0,9.25614630875394e-05,0.0,-6.5297848004058765e-09,0.0,0.0007117525728091555,0.0,0.020654029015497764,0.0,3.062058790454548e-05,0.0,0.1514911130937409,0.0,0.0017830395138550346,0.0,-2.2373513474242326e-07,0.0,0.013598894506771767,0.0,0.004510517927992643,-0.0,2.1856108178684164e-07,-0.0,0.025,0.0,0.0,0.0,0.02301042036271358,0.0,-1.1090800235702482e-06,0.0,2192503,psi cbf = False
